Series ID,Year,Period,Label,Value
LAUCN325100000000003,2012,M01,2012 Jan,13.7
LAUCN325100000000003,2012,M02,2012 Feb,13.4
LAUCN325100000000003,2012,M03,2012 Mar,13.1
LAUCN325100000000003,2012,M04,2012 Apr,12.6
LAUCN325100000000003,2012,M05,2012 May,12.1
LAUCN325100000000003,2012,M06,2012 Jun,12.3
LAUCN325100000000003,2012,M07,2012 Jul,12.1
LAUCN325100000000003,2012,M08,2012 Aug,11.7
LAUCN325100000000003,2012,M09,2012 Sep,11.2
LAUCN325100000000003,2012,M10,2012 Oct,11.2
LAUCN325100000000003,2012,M11,2012 Nov,11.1
LAUCN325100000000003,2012,M12,2012 Dec,11.7
LAUCN325100000000003,2013,M01,2013 Jan,13.1
LAUCN325100000000003,2013,M02,2013 Feb,11.9
LAUCN325100000000003,2013,M03,2013 Mar,11.5
LAUCN325100000000003,2013,M04,2013 Apr,11.0
LAUCN325100000000003,2013,M05,2013 May,10.6
LAUCN325100000000003,2013,M06,2013 Jun,10.9
LAUCN325100000000003,2013,M07,2013 Jul,10.5
LAUCN325100000000003,2013,M08,2013 Aug,10.2
LAUCN325100000000003,2013,M09,2013 Sep,10.1
LAUCN325100000000003,2013,M10,2013 Oct,10.0
LAUCN325100000000003,2013,M11,2013 Nov,9.7
LAUCN325100000000003,2013,M12,2013 Dec,9.7
LAUCN325100000000003,2014,M01,2014 Jan,10.6
LAUCN325100000000003,2014,M02,2014 Feb,10.4
LAUCN325100000000003,2014,M03,2014 Mar,10.1
LAUCN325100000000003,2014,M04,2014 Apr,8.9
LAUCN325100000000003,2014,M05,2014 May,8.8
LAUCN325100000000003,2014,M06,2014 Jun,8.7
LAUCN325100000000003,2014,M07,2014 Jul,8.7
LAUCN325100000000003,2014,M08,2014 Aug,8.5
LAUCN325100000000003,2014,M09,2014 Sep,8.2
LAUCN325100000000003,2014,M10,2014 Oct,7.9
LAUCN325100000000003,2014,M11,2014 Nov,8.0
LAUCN325100000000003,2014,M12,2014 Dec,8.0
LAUCN325100000000003,2015,M01,2015 Jan,8.7
LAUCN325100000000003,2015,M02,2015 Feb,8.2
LAUCN325100000000003,2015,M03,2015 Mar,7.5
LAUCN325100000000003,2015,M04,2015 Apr,7.5
LAUCN325100000000003,2015,M05,2015 May,7.2
LAUCN325100000000003,2015,M06,2015 Jun,7.2
LAUCN325100000000003,2015,M07,2015 Jul,7.2
LAUCN325100000000003,2015,M08,2015 Aug,7.0
LAUCN325100000000003,2015,M09,2015 Sep,6.7
LAUCN325100000000003,2015,M10,2015 Oct,6.6
LAUCN325100000000003,2015,M11,2015 Nov,6.8
LAUCN325100000000003,2015,M12,2015 Dec,6.9
LAUCN325100000000003,2016,M01,2016 Jan,7.5
LAUCN325100000000003,2016,M02,2016 Feb,7.1
LAUCN325100000000003,2016,M03,2016 Mar,6.9
LAUCN325100000000003,2016,M04,2016 Apr,6.5
LAUCN325100000000003,2016,M05,2016 May,5.8
LAUCN325100000000003,2016,M06,2016 Jun,6.1
LAUCN325100000000003,2016,M07,2016 Jul,5.8
LAUCN325100000000003,2016,M08,2016 Aug,5.8
LAUCN325100000000003,2016,M09,2016 Sep,5.9
LAUCN325100000000003,2016,M10,2016 Oct,5.6
LAUCN325100000000003,2016,M11,2016 Nov,5.4
LAUCN325100000000003,2016,M12,2016 Dec,5.6
